 do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 10006531 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 423 ;366.000,00;185.000,00;0.00;Casa, 0.00 de área total, 100.00 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006531
 8444413582770 ;SP ;ANDRADINA ;CONJUNTO HABITACIONAL ALVARO GASPARELLI ;RUA JOSE MARTINS RODRIGUES ANTIGA RUA 06, N. 550, LT 39 QD 16 ;132.041,10;233.000,00;43.33;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413582770
 8555539666761 ;SP ;ANDRADINA ;LOTEAMENTO RESIDENCIAL ALTO DOS IPES ;RUA DR CELSO CHARURI, N. 351, CS 080 QD E ;131.224,96;130.000,00;0.00;Casa, 0.00 de área total, 55.05 de área privativa, 140.00 de área do terreno,  3 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539666761
 1073841627429 ;SP ;ARACARIGUAMA ;CENTRO ;RUA ALAMEDA BELEM, N. 174, LT 21, QD 04 ;595.000,00;595.000,00;0.00;Casa, 0.00 de área total, 146.68 de área privativa, 804.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1073841627429
 8444419391020 ;SP ;ARACATUBA ;SAO JOSE ;RUA EDMUNDO CARVALHO DOS SANTOS N 238, N. 238, LT 20 QD 42 ;84.238,40;152.000,00;44.58;Prédio, 0.00 de área total, 54.50 de área privativa, 163.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419391020
 8787712634820 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1456, Apto 401, BL 06 VAGA 80 ;83.566,00;140.000,00;40.31;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712634820
 8555520924439 ;SP ;ARACATUBA ;SANTA LUZIA ;RUA GOULART, N. 155, Apto 404, BL 01 VAGA 22 ;86.255,20;137.000,00;37.04;Apartamento, 0.00 de área total, 48.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520924439
 8787708066473 ;SP ;ARACATUBA ;PARQUE PAQUERE ;RUA NOVE, N. 34, QD H LT 43 ;87.600,59;125.143,70;30.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708066473
 8787708165560 ;SP ;ARACATUBA ;PARQUE PAQUERE ;RUA DEZ, N. 98, QD I LT 36 ;89.600,00;128.000,00;30.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708165560
 8787703836874 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA FAUSE CHADE, N. 471, Apto 304, BL 21 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703836874
 8787707489427 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 101, BL 11 ;96.600,00;138.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707489427
 8787708299818 ;SP ;ARACATUBA ;VILA MENDONCA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 301, BL 06 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708299818
 8787704687104 ;SP ;ARACATUBA ;AVIACAO ;ESTRADA FAUSE CHADE, N. 471, Apto 104, BLOCO 01 ;98.000,00;140.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704687104
 8787707854729 ;SP ;ARACATUBA ;MORADA DOS NOBRES ;TRAVESSA ERNESTO NAZARET, N. 70, Apto 104, BL 09 ;102.122,08;145.888,68;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707854729
 8787704299015 ;SP ;ARACATUBA ;FAZENDA DO ESTADO ;RUA ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 301, BLOCO 19 ;94.500,00;135.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704299015
 8787704376834 ;SP ;ARACATUBA ;SANTA LUZIA ;RUA ESTRADA VICINAL FAUSE CHADE, N. 471, Apto 406, BLOCO 06 ;91.000,00;130.000,00;30.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704376834
 8444415989931 ;SP ;ARACATUBA ;CENTRO ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 103, BL 03 ;135.509,60;140.000,00;3.21;Apartamento, 0.00 de área total, 47.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415989931
 8444416345825 ;SP ;ARACATUBA ;LOT JARDIM SAO RAFAE ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 890, LT 22 QD K ;192.000,00;192.000,00;0.00;Casa, 0.00 de área total, 98.46 de área privativa, 130.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416345825
